"MUN","AGEB","NOM_LOC","POBTOT","TVIVPARHAB"
"001","0000","Total del municipio",67872,"17393"
"001","0127","Total AGEB urbana",3373,"921"
"001","0220","Total AGEB urbana",373,"89"
"001","0235","Total AGEB urbana",378,"92"
"001","0254","Total AGEB urbana",171,"44"
"001","0269","Total AGEB urbana",155,"41"
"001","0273","Total AGEB urbana",149,"36"
"001","0288","Total AGEB urbana",596,"162"
"001","0324","Total AGEB urbana",93,"21"
"001","0339","Total AGEB urbana",309,"79"
"001","0343","Total AGEB urbana",391,"98"
"001","0305","Total AGEB urbana",2821,"711"
"001","031A","Total AGEB urbana",1843,"448"
"002","0000","Total del municipio",171507,"45395"
"002","0228","Total AGEB urbana",2613,"718"
"002","0232","Total AGEB urbana",3555,"1012"
"002","050A","Total AGEB urbana",255,"62"
"002","0514","Total AGEB urbana",26,"5"
"002","0177","Total AGEB urbana",6148,"1636"
"002","036A","Total AGEB urbana",3652,"944"
"002","0374","Total AGEB urbana",1033,"280"
"002","0389","Total AGEB urbana",357,"95"
"002","068A","Total AGEB urbana",420,"110"
"002","0656","Total AGEB urbana",1969,"528"
"002","0660","Total AGEB urbana",1636,"441"
"002","0181","Total AGEB urbana",5816,"1573"
"002","0694","Total AGEB urbana",892,"316"
"002","0069","Total AGEB urbana",130,"37"
"002","0073","Total AGEB urbana",2559,"688"
"002","0088","Total AGEB urbana",567,"149"
"002","0105","Total AGEB urbana",418,"105"
"002","011A","Total AGEB urbana",245,"58"
"002","0124","Total AGEB urbana",3580,"957"
"002","0143","Total AGEB urbana",4642,"1227"
"002","0158","Total AGEB urbana",4498,"1149"
"002","0196","Total AGEB urbana",2553,"682"
"002","0247","Total AGEB urbana",2860,"739"
"002","0251","Total AGEB urbana",2777,"709"
"002","0266","Total AGEB urbana",3778,"983"
"002","0270","Total AGEB urbana",2847,"774"
"002","0285","Total AGEB urbana",3721,"989"
"002","029A","Total AGEB urbana",4719,"1344"
"002","0302","Total AGEB urbana",0,"0"
"002","0336","Total AGEB urbana",2565,"741"
"002","0340","Total AGEB urbana",2343,"718"
"002","0355","Total AGEB urbana",1187,"329"
"002","0410","Total AGEB urbana",765,"196"
"002","0425","Total AGEB urbana",392,"104"
"002","043A","Total AGEB urbana",1750,"460"
"002","0444","Total AGEB urbana",1664,"412"
"002","0459","Total AGEB urbana",7431,"2143"
"002","0463","Total AGEB urbana",6158,"1859"
"002","0478","Total AGEB urbana",7834,"2413"
"002","0482","Total AGEB urbana",9921,"2969"
"002","0497","Total AGEB urbana",3764,"1156"
"002","0533","Total AGEB urbana",1572,"440"
"002","0548","Total AGEB urbana",4386,"1013"
"002","0552","Total AGEB urbana",3590,"879"
"002","0567","Total AGEB urbana",4827,"1200"
"002","0571","Total AGEB urbana",1732,"412"
"002","0586","Total AGEB urbana",3398,"897"
"002","0590","Total AGEB urbana",2962,"755"
"002","0603","Total AGEB urbana",1909,"466"
"002","0618","Total AGEB urbana",1739,"474"
"002","0622","Total AGEB urbana",2239,"573"
"002","0637","Total AGEB urbana",3581,"897"
"002","0641","Total AGEB urbana",3170,"780"
"002","0675","Total AGEB urbana",5,"*"
"002","0162","Total AGEB urbana",2936,"711"
"002","0209","Total AGEB urbana",1969,"548"
"002","0529","Total AGEB urbana",505,"129"
"002","0393","Total AGEB urbana",5984,"144"
"002","0016","Total AGEB urbana",5561,"1774"
"003","0000","Total del municipio",49266,"13109"
"003","0117","Total AGEB urbana",1957,"603"
"003","0225","Total AGEB urbana",2832,"648"
"004","0000","Total del municipio",15333,"4189"
"004","0044","Total AGEB urbana",3158,"874"
"005","0000","Total del municipio",174587,"42209"
"005","0164","Total AGEB urbana",1104,"328"
"005","0361","Total AGEB urbana",951,"258"
"005","0450","Total AGEB urbana",966,"249"
"005","0215","Total AGEB urbana",7929,"1902"
"005","0431","Total AGEB urbana",5123,"1168"
"005","022A","Total AGEB urbana",4040,"979"
"005","0287","Total AGEB urbana",3060,"698"
"005","0145","Total AGEB urbana",9373,"2154"
"005","015A","Total AGEB urbana",2475,"580"
"005","0376","Total AGEB urbana",1105,"262"
"005","047A","Total AGEB urbana",60,"13"
"005","0484","Total AGEB urbana",4222,"1271"
"005","0380","Total AGEB urbana",5054,"1194"
"005","0499","Total AGEB urbana",3877,"859"
"005","0395","Total AGEB urbana",3595,"847"
"005","0287","Total AGEB urbana",2527,"566"
"005","0338","Total AGEB urbana",3997,"926"
"005","0342","Total AGEB urbana",11746,"1834"
"005","0323","Total AGEB urbana",2615,"629"
"005","0501","Total AGEB urbana",2632,"809"
"005","0516","Total AGEB urbana",3227,"952"
"005","0520","Total AGEB urbana",5636,"1634"
"005","0535","Total AGEB urbana",1381,"392"
"005","054A","Total AGEB urbana",343,"94"
"005","0554","Total AGEB urbana",918,"257"
"005","0304","Total AGEB urbana",2887,"825"
"005","0573","Total AGEB urbana",5503,"1637"
"005","0588","Total AGEB urbana",2576,"788"
"006","0000","Total del municipio",12694,"2925"
"006","0049","Total AGEB urbana",5126,"1153"
"006","0053","Total AGEB urbana",4700,"1122"
"006","0068","Total AGEB urbana",744,"181"
"006","0072","Total AGEB urbana",222,"49"
"007","0000","Total del municipio",23675,"6079"
"007","0046","Total AGEB urbana",1517,"440"
"007","0050","Total AGEB urbana",2982,"744"
"007","0065","Total AGEB urbana",2683,"650"
"007","0065","Total AGEB urbana",3253,"808"
"008","0000","Total del municipio",25244,"6936"
"008","0081","Total AGEB urbana",1911,"534"
"008","0151","Total AGEB urbana",1278,"373"
"008","0166","Total AGEB urbana",1038,"312"
"008","0170","Total AGEB urbana",237,"70"
"008","0185","Total AGEB urbana",27,"8"
"008","019A","Total AGEB urbana",339,"96"
"008","0202","Total AGEB urbana",58,"18"
"008","0217","Total AGEB urbana",45,"14"
"009","0000","Total del municipio",53441,"13447"
"009","0036","Total AGEB urbana",5444,"1526"
"009","0040","Total AGEB urbana",7111,"1749"
"009","006A","Total AGEB urbana",6330,"1604"
"009","0093","Total AGEB urbana",2643,"614"
"009","0125","Total AGEB urbana",1070,"245"
"009","0144","Total AGEB urbana",3695,"1052"
"009","0159","Total AGEB urbana",6129,"1582"
"009","0182","Total AGEB urbana",5,"*"
"009","0252","Total AGEB urbana",179,"54"
"009","0267","Total AGEB urbana",1110,"284"
"009","0017","Total AGEB urbana",1436,"380"
"009","0021","Total AGEB urbana",1787,"434"
"009","0233","Total AGEB urbana",2024,"504"
"009","0106","Total AGEB urbana",2825,"622"
"009","0110","Total AGEB urbana",2615,"600"
"009","0248","Total AGEB urbana",1,"*"
"009","0074","Total AGEB urbana",2610,"641"
"010","0000","Total del municipio",31898,"8169"
"010","015A","Total AGEB urbana",645,"172"
"010","0179","Total AGEB urbana",536,"129"
"010","0198","Total AGEB urbana",2161,"558"
"010","0200","Total AGEB urbana",2690,"732"
"010","0215","Total AGEB urbana",1984,"561"
"010","022A","Total AGEB urbana",3556,"902"
"010","0234","Total AGEB urbana",834,"224"
"010","0249","Total AGEB urbana",1948,"488"
"010","0253","Total AGEB urbana",195,"48"
"010","0268","Total AGEB urbana",30,"7"
"010","0272","Total AGEB urbana",42,"10"
"010","0287","Total AGEB urbana",157,"41"
"010","0291","Total AGEB urbana",219,"62"
"010","0304","Total AGEB urbana",174,"49"
"010","0041","Total AGEB urbana",3878,"989"
"010","0183","Total AGEB urbana",3990,"1010"
"011","0000","Total del municipio",75489,"18733"
"011","0053","Total AGEB urbana",4150,"977"
"011","0068","Total AGEB urbana",7448,"1763"
"011","0123","Total AGEB urbana",2231,"546"
"011","0138","Total AGEB urbana",1212,"278"
"011","0142","Total AGEB urbana",2543,"641"
"011","0176","Total AGEB urbana",1098,"272"
"011","0180","Total AGEB urbana",835,"196"
"011","0231","Total AGEB urbana",306,"82"
"011","0049","Total AGEB urbana",4935,"1277"
"011","0161","Total AGEB urbana",1268,"335"
"011","0212","Total AGEB urbana",235,"59"
"011","0227","Total AGEB urbana",1148,"277"
"011","0246","Total AGEB urbana",158,"46"
"011","0034","Total AGEB urbana",4004,"1014"
"011","0157","Total AGEB urbana",929,"221"
"011","034A","Total AGEB urbana",615,"163"
"011","0015","Total AGEB urbana",4137,"897"
"011","0250","Total AGEB urbana",3378,"866"
"011","0265","Total AGEB urbana",2632,"687"
"011","0354","Total AGEB urbana",335,"96"
"011","002A","Total AGEB urbana",3649,"908"
"011","0284","Total AGEB urbana",2649,"707"
"011","0299","Total AGEB urbana",1384,"364"
"011","0301","Total AGEB urbana",1748,"433"
"011","0316","Total AGEB urbana",1460,"330"
